gspread_row;use_area;tool_name;repo_owner;repo_name;main_branch;total_commits;last_commit_check;fork_count;stars_count;watchers_count;license_name;primary_language;is_archived;open_issues;closed_issues
78;Visual Analysis and Debugging;Yellowbrick;DistrictDataLabs;yellowbrick;develop;853;False;488;3220;103;Apache License 2.0;Python;False;79;532
79;Workflow Tools;Argo;argoproj;argo-workflows;master;2449;False;1507;8457;176;Apache License 2.0;Go;False;381;2672
80;Workflow Tools;Couler;couler-proj;couler;master;164;False;40;455;15;Apache License 2.0;Python;False;21;23
81;Workflow Tools;Flyte;flyteorg;flyte;master;234;False;104;1398;271;Apache License 2.0;Python;False;258;459
82;Workflow Tools;Kale;kubeflow-kale;kale;master;638;False;69;364;12;Apache License 2.0;Python;False;51;58
83;Workflow Tools;Kedro;quantumblacklabs;kedro;master;1228;False;444;3832;90;Other;Python;False;38;424
84;Workflow Tools;Luigi;spotify;luigi;master;3993;False;2254;14530;501;Apache License 2.0;Python;False;53;843
85;Workflow Tools;Metaflow;Netflix;metaflow;master;223;False;367;4337;217;Apache License 2.0;Python;False;120;152
86;Workflow Tools;MLRun;mlrun;mlrun;development;1173;False;85;340;9;Other;Python;False;21;84
87;Workflow Tools;Prefect;PrefectHQ;prefect;master;13965;False;578;6273;137;Apache License 2.0;Python;False;286;1414
88;Workflow Tools;ZenML;maiot-io;zenml;main;1319;False;61;1143;24;Apache License 2.0;Python;False;8;29
