gspread_row;use_area;tool_name;repo_owner;repo_name;main_branch;total_commits;last_commit_check;fork_count;stars_count;watchers_count;license_name;primary_language;is_archived;open_issues;closed_issues
2;AutoML;AutoGluon;awslabs;autogluon;master;601;False;415;3221;82;Apache License 2.0;Python;False;89;347
3;AutoML;AutoKeras;keras-team;autokeras;master;1251;False;1283;7948;301;Apache License 2.0;Python;False;67;669
4;AutoML;AutoPyTorch;automl;Auto-PyTorch;master;127;False;150;1219;43;Apache License 2.0;Python;False;53;68
5;AutoML;AutoSKLearn;automl;auto-sklearn;master;2457;False;1017;5406;220;Other;Python;False;96;612
6;AutoML;MLBox;AxeldeRomblay;MLBox;master;1121;True;254;1221;67;Other;Python;False;13;73
7;CI/CD ;CML;iterative;cml;master;228;False;149;2362;44;Apache License 2.0;JavaScript;False;43;193
8;Cron Job Monitoring;minicron;jamesrwhite;minicron;master;1249;True;165;2344;83;GNU General Public License v3.0;Ruby;False;44;190
9;Cron Job Monitoring;healthchecks;healthchecks;healthchecks;master;1673;False;472;3758;92;BSD 3-Clause "New" or "Revised" License;Python;False;66;308
10;Data Exploration;Apache Zeppelin;apache;zeppelin;master;4863;False;2466;5244;340;Apache License 2.0;Java;False;0;0
11;Data Exploration;Jupyter Notebook;jupyter;notebook;master;12047;False;3392;8240;317;Other;JavaScript;False;1984;2224
12;Data Exploration;Polynote;polynote;polynote;master;2079;False;364;4144;95;Apache License 2.0;TypeScript;False;163;338
13;Data Management;dvc;iterative;dvc;master;6572;False;750;7884;120;Apache License 2.0;Python;False;454;2459
15;Data Management;Intake;intake;intake;master;1679;False;101;559;42;BSD 2-Clause "Simplified" License;Python;False;68;198
16;Data Management;lakeFS;treeverse;lakeFS;master;2354;False;135;1149;20;Apache License 2.0;Go;False;133;443
17;Data Processing;Airflow;apache;airflow;master;12347;False;8457;21442;740;Apache License 2.0;Python;False;807;2459
18;Data Processing;Hadoop;apache;hadoop;trunk;24911;False;7162;11582;1028;Apache License 2.0;Java;False;0;0
